customer_tweet_id,customer_text,agent_tweet_id,agent_reply,created_at
1426141,"Hey, this is not a purchase issue. This is seller issue. I sell via (Local Finds)",1426143,Apologies for the confusion. Kindly try reporting this to our seller support team here: ^AB,Thu Nov 02 04:59:09 +0000 2017
1045521,"Yes, I got it sorted on live chat just there :)",1045522,Glad to hear it. ^MC,Mon Oct 23 11:13:41 +0000 2017
83494,"Exactly that's what I am saying it's not refund, the money is still in accounts of Amazon and you just offer alternate purchase not refund. Fooling people with refund term. One make a purchase, copied local product comes and i dont get my money back in account. Not satisfied",83496,As informed earlier once the refund is processed to Amazon pay the same can not be transferred to Bank account. You can use the same in your future orders or one of our partner websites. ^VH,Fri Dec 01 15:25:39 +0000 2017
550551,"Your carriers picked up the wrong package at my address, and I don’t purchase the package through Amazon.",550550,"When you contacted in, what options were discussed regarding the wrong packing being picked up? ^DO",Sat Dec 02 18:58:26 +0000 2017
231734,"I've had confirmation the 'Return' process has started, so far that's it. Normally the item is collected the next business day.",231736,Have you been in touch with us here: so we can look into this for you.^CD,Thu Oct 05 10:58:50 +0000 2017
2963256,Pic attached. Package was opened and ripped up by someone but luckily nothing missing.,2963258,"I'm glad nothing was missing! A member of our packaging team would like to address the condition of your package. When you get a moment, please provide additional information here: ^FD",Wed Nov 29 23:00:36 +0000 2017
1335127,"Also, the pickup didn't arrive. Would you be so kind to look into that as well? Thanks.",1335129,Apologies. Kindly drop in the details here: and I'll check this for you. ^GD,Fri Oct 27 15:28:39 +0000 2017
207563,"Stop lying ,you guys never care for customers.once you got your money you never bother about their issues.never seen such a cheating service.be Frank and tell me whether you are taking back your faulty product or not.plz don't waste my by giving false commitment",207564,"That's quite a remark. We are working on this on priority, please allow us sometime and we will get back to you with an update.^AH",Thu Nov 09 03:47:03 +0000 2017
2507137,done. is there anyway to inform all drivers that we don’t accept packages for that address?,2507139,"We'll be able to escalate this to our Transportation team when you follow the link that ^JE previously provided. If further action is needed, we'll have access to your account and let you know! ^TG",Sun Nov 26 19:53:31 +0000 2017
1780116,Link says I don’t have any previous orders in the last 6 months when I clearly do...,1780117,Are you signed in to the correct account for your mobile app and web browser? ^GG,Wed Oct 18 04:34:56 +0000 2017
1583645,This is the error screen it’s giving me after putting in the the “ tvcode”,1583643,"Hmm! Are other apps working properly? If so, please try uninstalling/installing the app. Let us know if that helps! ^CS",Sat Nov 04 20:37:56 +0000 2017
434544,"such response not expected from a company like Amazon. Instead of just saying sorry, better u get the issue resolved asap",437354,We sure will. ^HA,Tue Oct 10 17:04:34 +0000 2017
2754602,"Got told at 4 package would be guaranteed redelivered by 10pm. Sat in like have been since 8am.found out at 8:30 it never was getting redelivered. Lied to again by customer service based in another country, a bit like your TAX",2754604,"I'm so sorry your package hasn't shown! Please reach out to us here, by phone, for further assistance: ^QJ",Tue Nov 21 05:24:14 +0000 2017
2831631,"Happy to know that my product is held at courier point for #cod payment.. FedEx didn't even come to #deliver my product and now they are delaying.. customer service is unable to find solution for me, they are saying to contact courier service:(",2831633,We're sorry to hear about the trouble with the delivery of your order. We'd be glad to help you with this. Please share your details here: and we’ll contact you soon. ^SM,Mon Nov 27 18:31:08 +0000 2017
2291507,I know the problem after ending my return policy time. The problem of display is showing in white display and grey.,2291506,Have you tried reaching out to us with the link provided earlier? Please do and we'll look into it. ^PB,Thu Nov 09 17:09:38 +0000 2017
